season,player_display_name,recent_team,feature,shap_value
2014,Kyle Orton,BUF,passing_yards,-0.6003198
2014,Drew Stanton,ARI,passing_yards,-0.6521766
2014,Andy Dalton,CIN,passing_yards,-0.4660667
2014,Blaine Gabbert,SF,passing_yards,-0.6030865
2014,Colin Kaepernick,SF,passing_yards,-0.6124551
2014,Brandon Weeden,DAL,passing_yards,-0.66306204
2014,Matt Moore,MIA,passing_yards,-0.64414114
2014,Brock Osweiler,DEN,passing_yards,-0.66306204
2014,T.J. Yates,ATL,passing_yards,-0.646036
2014,Colt McCoy,WAS,passing_yards,-0.65933406
2014,Mike Glennon,TB,passing_yards,-0.6030865
2014,Tarvaris Jackson,SEA,passing_yards,-0.7044603
2014,Matt Hasselbeck,IND,passing_yards,-0.7227002
2014,Teddy Bridgewater,MIN,passing_yards,-0.4546553
2014,Matt Barkley,PHI,passing_yards,-0.6150445
2014,Ryan Nassib,NYG,passing_yards,-0.646036
2014,Connor Shaw,CLE,passing_yards,-0.6030865
2014,Tom Savage,HOU,passing_yards,-0.62700266
2014,Matt Simms,NYJ,passing_yards,-0.59780407
2014,Derek Carr,LV,passing_yards,-0.5078724
2014,Jay Cutler,CHI,passing_yards,0.097041704
2014,Blake Bortles,JAX,passing_yards,-0.45343384
2014,Cam Newton,CAR,passing_yards,-0.43214342
2014,Brian Hoyer,CLE,passing_yards,-0.5047788
2014,Geno Smith,NYJ,passing_yards,-0.502529
2014,Josh McCown,TB,passing_yards,-0.47491646
2014,Austin Davis,LA,passing_yards,-0.62423605
2014,Shaun Hill,LA,passing_yards,-0.6564879
2014,Robert Griffin III,WAS,passing_yards,-0.6465608
2014,Charlie Whitehurst,TEN,passing_yards,-0.6030865
2014,Zach Mettenberger,TEN,passing_yards,-0.6128885
2014,Jake Locker,TEN,passing_yards,-0.5922162
2014,EJ Manuel,BUF,passing_yards,-0.6030865
2014,DeMarco Murray,DAL,passing_yards,-0.56352556
2014,Le'Veon Bell,PIT,passing_yards,-0.5311049
2014,Matt Forte,CHI,passing_yards,-0.5438024
2014,Antonio Brown,PIT,passing_yards,-0.66375315
2014,Marshawn Lynch,SEA,passing_yards,-0.49204716
2014,Demaryius Thomas,DEN,passing_yards,-0.64132935
2014,Julio Jones,ATL,passing_yards,-0.5813539
2014,Arian Foster,HOU,passing_yards,-0.57246315
2014,Eddie Lacy,GB,passing_yards,-0.5904957
2014,Justin Forsett,BAL,passing_yards,-0.5271746
2014,Jordy Nelson,GB,passing_yards,-0.64132935
2014,LeSean McCoy,PHI,passing_yards,-0.56458735
2014,Emmanuel Sanders,DEN,passing_yards,-0.64132935
2014,Lamar Miller,MIA,passing_yards,-0.51988626
2014,T.Y. Hilton,IND,passing_yards,-0.6076672
2014,Golden Tate,DET,passing_yards,-0.6076672
2014,Odell Beckham Jr.,NYG,passing_yards,-0.5813539
2014,Jeremy Hill,CIN,passing_yards,-0.5221063
2014,Randall Cobb,GB,passing_yards,-0.64132935
2014,Jamaal Charles,KC,passing_yards,-0.5060132
2014,Dez Bryant,DAL,passing_yards,-0.64132935
2014,Jeremy Maclin,PHI,passing_yards,-0.5933119
2014,Alfred Morris,WAS,passing_yards,-0.542817
2014,Frank Gore,SF,passing_yards,-0.53399026
2014,DeAndre Hopkins,HOU,passing_yards,-0.5813539
2014,Rob Gronkowski,NE,passing_yards,-0.64132935
2014,Julian Edelman,NE,passing_yards,-0.63406384
2014,Kenny Stills,NO,passing_yards,-0.5813539
2014,Anquan Boldin,SF,passing_yards,-0.5813539
2014,Alshon Jeffery,CHI,passing_yards,-0.5760715
2014,Travis Kelce,KC,passing_yards,-0.5813539
2014,DeSean Jackson,WAS,passing_yards,-0.5813539
2014,Calvin Johnson,DET,passing_yards,-0.6076672
2014,Antonio Gates,LAC,passing_yards,-0.5813539
2014,Greg Olsen,CAR,passing_yards,-0.5813539
2014,Mike Evans,TB,passing_yards,-0.5813539
2014,Malcom Floyd,LAC,passing_yards,-0.5813539
2014,Jason Witten,DAL,passing_yards,-0.64132935
2015,Carson Palmer,ARI,passing_yards,-0.02690601
2015,Russell Wilson,SEA,passing_yards,-0.04721086
2015,Tom Brady,NE,passing_yards,0.05249659
2015,Andy Dalton,CIN,passing_yards,-0.7642762
2015,Drew Brees,NO,passing_yards,0.031232346
2015,Ben Roethlisberger,PIT,passing_yards,-0.12708384
2015,Kirk Cousins,WAS,passing_yards,-0.22119124
2015,Cam Newton,CAR,passing_yards,0.29071403
2015,Matt Ryan,ATL,passing_yards,-0.14013736
2015,Ryan Fitzpatrick,NYJ,passing_yards,0.009678798
2015,Philip Rivers,LAC,passing_yards,0.025644666
2015,Eli Manning,NYG,passing_yards,-0.14168808
